,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
195,2458683,13.401499166595851,13.078869131293931,14.075705536633574,12.951499166595852,12.86886913129393,14.055705536633575
196,2458684,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
197,2458685,13.599116557128287,13.25410804099722,14.33312234146577,13.149116557128288,13.04410804099722,14.313122341465771
198,2458686,13.632880160601086,13.285635770097752,14.38035448397854,13.182880160601087,13.075635770097751,14.36035448397854
199,2458687,13.574850599223364,13.228654946545799,14.297555192936041,13.124850599223365,13.018654946545798,14.277555192936042
200,2458688,13.460789028311172,13.127550819095358,14.148177392523078,13.010789028311173,12.917550819095357,14.128177392523078
201,2458689,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
202,2458690,13.378168204406155,13.062496317705925,14.049371860452876,12.928168204406155,12.852496317705924,14.029371860452876
203,2458691,13.459404464122965,13.122306019368455,14.143695482016188,13.009404464122966,12.912306019368454,14.123695482016188
204,2458692,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
205,2458693,13.632880160601086,13.285635770097752,14.38035448397854,13.182880160601087,13.075635770097751,14.36035448397854
206,2458694,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
207,2458695,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
208,2458696,13.401499166595851,13.078869131293931,14.075705536633574,12.951499166595852,12.86886913129393,14.055705536633575
209,2458697,13.363029523987517,13.04685850725362,14.02901675776965,12.913029523987518,12.83685850725362,14.00901675776965
210,2458698,13.427293275301178,13.100961781129495,14.107718161977385,12.977293275301179,12.890961781129494,14.087718161977385
211,2458699,13.5297226850133,13.189969475469962,14.238479821237963,13.079722685013301,12.97996947546996,14.218479821237963
212,2458700,13.62881126328202,13.283659553487762,14.375886976130257,13.178811263282022,13.073659553487762,14.355886976130257
213,2458701,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
214,2458702,13.543211540762673,13.20286186693853,14.256889663039896,13.093211540762674,12.99286186693853,14.236889663039896
215,2458703,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
216,2458704,13.362834481711023,13.04414904759837,14.02721401812612,12.912834481711023,12.83414904759837,14.00721401812612
217,2458705,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
218,2458706,13.488573013147626,13.15211806300685,14.183905304652708,13.038573013147627,12.942118063006848,14.163905304652708
219,2458707,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
220,2458708,13.637768682846318,13.295415169258288,14.391075775785165,13.187768682846318,13.085415169258287,14.371075775785165
221,2458709,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
222,2458710,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
223,2458711,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
224,2458712,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
225,2458713,13.44685223959787,13.115460973788625,14.13053788691187,12.996852239597871,12.905460973788625,14.110537886911871
226,2458714,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
227,2458715,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
228,2458716,13.61232515558989,13.267919046194347,14.352522242549885,13.16232515558989,13.057919046194346,14.332522242549885
229,2458717,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
230,2458718,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
231,2458719,13.363289807127597,13.047014049577623,14.029299814206023,12.913289807127597,12.837014049577622,14.009299814206024
232,2458720,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
233,2458721,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
234,2458722,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
235,2458723,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
236,2458724,13.54155180044921,13.196289649518828,14.251167485667136,13.09155180044921,12.986289649518827,14.231167485667136
237,2458725,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
238,2458726,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
239,2458727,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
240,2458728,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
241,2458729,13.59264201599468,13.244261667633449,14.321386880460548,13.142642015994682,13.034261667633448,14.301386880460548
242,2458730,13.650767793502407,13.309918071186697,14.411186491265784,13.200767793502408,13.099918071186696,14.391186491265785
243,2458731,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
244,2458732,13.487086842030177,13.146448920027563,14.179021669798072,13.037086842030178,12.936448920027562,14.159021669798072
245,2458733,13.373170132786225,13.055499220757763,14.041341554911558,12.923170132786225,12.845499220757763,14.021341554911558
246,2458734,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
247,2458735,13.436738036149233,13.105918256402571,14.117352553277865,12.986738036149234,12.89591825640257,14.097352553277865
248,2458736,13.548260891126017,13.205571956236152,14.262430181012089,13.098260891126017,12.995571956236152,14.24243018101209
249,2458737,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
250,2458738,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
251,2458739,13.528101693372637,13.183630005464028,14.232970784206596,13.078101693372638,12.973630005464027,14.212970784206597
252,2458740,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
253,2458741,13.351280927270825,13.040360646729898,14.01700346776887,12.901280927270825,12.830360646729897,13.99700346776887
254,2458742,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
